"Time (UTC)","Barometric Pressure (mbar)","Temperature (degrees F)","Dewpoint (degrees F)","Relative Humidity (%)","Wind speed (mph)","Wind direction (degrees)","Analysis Barometric Pressure (mbar)","Analysis Temperature (degrees F)","Analysis Dewpoint (degrees F)","Analysis Relative Humidity (%)","Analysis Wind speed (mph)","Analysis Wind direction (degrees)"
2017-06-12 12:20:00,1017.40,66.0,31.1,27,1,273,,,,,,
2017-06-12 12:35:00,1017.30,65.0,32.0,29,0,208,,,,,,
2017-06-12 12:50:00,1017.40,66.0,29.2,25,0,231,,,,,,
2017-06-12 13:05:00,1017.40,66.0,31.1,27,0,150,,,,,,
2017-06-12 13:20:00,1017.50,66.0,29.2,25,0,321,,,,,,
2017-06-12 13:35:00,1017.60,66.0,24.9,21,0,175,,,,,,
2017-06-12 13:50:00,1017.60,65.0,26.3,22,0,168,,,,,,
2017-06-12 14:05:00,1017.50,65.0,28.3,24,0,244,,,,,,
2017-06-12 14:20:00,1017.60,64.0,28.4,26,0,244,,,,,,
2017-06-12 14:35:00,1017.60,64.0,28.4,26,0,241,,,,,,
2017-06-12 14:51:00,1017.80,63.0,29.4,27,0,241,,,,,,
2017-06-12 15:05:00,1017.90,63.0,31.1,30,0,241,,,,,,
2017-06-12 15:20:00,1018.10,62.0,32.6,33,0,241,,,,,,
2017-06-12 15:35:00,1018.10,60.0,31.6,33,0,241,,,,,,
2017-06-12 15:50:00,1018.20,59.0,31.4,35,0,241,,,,,,
2017-06-12 16:05:00,1018.20,58.0,31.2,36,0,241,,,,,,
2017-06-12 16:20:00,1018.50,57.0,29.6,34,0,241,,,,,,
2017-06-12 16:35:00,1018.60,57.0,28.9,33,0,241,,,,,,
2017-06-12 16:50:00,1018.70,57.0,28.9,33,0,241,,,,,,
2017-06-12 17:05:00,1018.70,57.0,29.6,34,0,241,,,,,,
2017-06-12 17:20:00,1018.90,56.0,28.0,33,0,241,,,,,,
2017-06-12 17:35:00,1018.90,56.0,27.3,33,0,241,,,,,,
2017-06-12 17:50:00,1019.00,56.0,28.0,33,0,241,,,,,,
2017-06-12 18:06:00,1019.10,55.0,28.5,35,0,241,,,,,,
2017-06-12 18:21:00,1019.20,55.0,27.9,35,0,241,,,,,,
2017-06-12 18:35:00,1019.30,55.0,27.9,35,0,131,,,,,,
2017-06-12 18:50:00,1019.30,55.0,27.9,35,0,122,,,,,,
2017-06-12 19:06:00,1019.30,54.0,29.0,37,0,122,,,,,,
2017-06-12 19:21:00,1019.30,53.0,29.3,39,0,122,,,,,,
2017-06-12 19:35:00,1019.30,52.0,28.4,40,0,122,,,,,,
2017-06-12 19:51:00,1019.30,51.0,29.3,43,0,122,,,,,,
2017-06-12 20:05:00,1019.40,50.0,30.0,45,0,122,,,,,,
2017-06-12 20:21:00,1019.50,49.0,31.7,51,0,122,,,,,,
2017-06-12 20:36:00,1019.50,48.0,31.2,51,0,122,,,,,,
2017-06-12 20:51:00,1019.50,47.0,31.2,54,0,122,,,,,,
2017-06-12 21:06:00,1019.50,46.0,30.3,54,0,122,,,,,,
2017-06-12 21:21:00,1019.40,45.0,29.8,55,0,122,,,,,,
2017-06-12 21:36:00,1019.50,45.0,29.8,55,0,122,,,,,,
2017-06-12 21:51:00,1019.60,45.0,28.9,53,0,122,,,,,,
2017-06-12 22:06:00,1019.60,45.0,28.4,52,0,122,,,,,,
2017-06-12 22:21:00,1019.40,45.0,28.9,53,0,122,,,,,,
2017-06-12 22:36:00,1019.40,45.0,28.9,53,0,122,,,,,,
2017-06-12 22:51:00,1019.50,45.0,28.4,52,0,122,,,,,,
2017-06-12 23:06:00,1019.50,45.0,28.0,50,0,122,,,,,,
2017-06-12 23:21:00,1019.30,45.0,27.5,49,0,122,,,,,,
2017-06-12 23:36:00,1019.30,45.0,26.0,47,0,122,,,,,,
2017-06-12 23:51:00,1019.40,47.0,26.8,44,0,122,,,,,,
2017-06-13 00:06:00,1019.40,47.0,27.3,46,0,122,,,,,,
2017-06-13 00:21:00,1019.40,46.0,27.9,48,0,122,,,,,,
2017-06-13 00:36:00,1019.30,45.0,26.5,47,0,122,,,,,,
2017-06-13 00:51:00,1019.20,45.0,28.0,50,0,122,,,,,,
2017-06-13 01:06:00,1019.10,44.0,27.1,51,0,122,,,,,,
2017-06-13 01:21:00,1019.20,44.0,26.1,48,0,122,,,,,,
2017-06-13 01:36:00,1019.10,43.0,25.2,48,0,122,,,,,,
2017-06-13 01:51:00,1019.10,43.0,25.2,48,0,122,,,,,,
2017-06-13 02:06:00,1019.00,43.0,24.7,48,0,122,,,,,,
2017-06-13 02:21:00,1018.80,43.0,25.2,48,0,122,,,,,,
2017-06-13 02:36:00,1018.80,43.0,26.1,50,0,122,,,,,,
2017-06-13 02:51:00,1018.70,42.0,25.2,51,0,122,,,,,,
2017-06-13 03:06:00,1018.70,42.0,26.6,54,0,122,,,,,,
2017-06-13 03:21:00,1018.70,42.0,27.0,55,0,122,,,,,,
2017-06-13 03:36:00,1018.70,41.0,25.6,53,0,122,,,,,,
2017-06-13 03:51:00,1018.80,41.0,26.9,57,0,122,,,,,,
2017-06-13 04:06:00,1018.80,41.0,27.4,58,0,122,,,,,,
2017-06-13 04:21:00,1019.00,41.0,27.8,58,0,122,,,,,,
2017-06-13 04:36:00,1019.20,41.0,27.4,58,0,122,,,,,,
2017-06-13 04:51:00,1019.30,41.0,27.8,58,0,122,,,,,,
2017-06-13 05:06:00,1019.30,41.0,26.9,57,0,122,,,,,,
2017-06-13 05:21:00,1019.30,41.0,26.9,57,0,122,,,,,,
2017-06-13 05:36:00,1019.40,42.0,27.9,56,0,122,,,,,,
2017-06-13 05:51:00,1019.60,43.0,27.9,54,0,122,,,,,,
2017-06-13 06:06:00,1019.70,44.0,28.4,54,0,122,,,,,,
2017-06-13 06:21:00,1019.80,46.0,29.8,53,0,122,,,,,,
2017-06-13 06:36:00,1019.80,48.0,31.7,52,0,122,,,,,,
